time,open,high,low,close,ST Line Up,ST Up,ST Line Down,ST Down,EMA 1,EMA 2,EMA 3,EMA 4,Zhighs,Zlows,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),BUY,SELL,AP,MOM,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1707811200,49983.09,50247,49650,49988.12,39671.108701379984,NaN,NaN,NaN,48523.6643432573,46692.53359238789,45137.68602278236,43971.53630113439,NaN,NaN,49817.84797758886,50247,49650,49967.0525,0,0,49347.97703205459,1704.1200000000026,49983.09,50247,49650,49988.12
1707825600,49988.12,49996,48400,48727.47,39671.108701379984,NaN,NaN,NaN,48543.07440580422,46772.33502013738,45208.770854014394,44018.859024506186,NaN,NaN,49892.45023879443,49996,48400,49277.8975,0,0,49287.01056136865,427.4800000000032,49988.12,49996,48400,48727.47
1707840000,48727.47,49268.21,48300.95,49036.73,39671.108701379984,NaN,NaN,NaN,48590.08922429905,46861.13482326925,45284.57202522203,44068.78808893896,NaN,NaN,49585.173869397215,49585.173869397215,48300.95,48833.340000000004,0,0,49246.68329068384,891.7300000000032,48727.47,49268.21,48300.95,49036.73
1707854400,49036.74,49775,49011.1,49699.59,39671.108701379984,NaN,NaN,NaN,48695.755964842,46972.44679098418,45371.99812373248,44124.81596865101,NaN,NaN,49209.25693469861,49775,49011.1,49380.6075,0,0,49261.318323784064,1495.6099999999933,49036.74,49775,49011.1,49699.59
1707868800,49699.6,49712.94,49333,49518.61,39671.108701379984,NaN,NaN,NaN,48774.123015809426,47072.29632859264,45454.10924999521,44178.485561002744,NaN,NaN,49294.932217349306,49712.94,49294.932217349306,49566.037500000006,0,0,49268.40270876962,1615.5800000000017,49699.6,49712.94,49333,49518.61
1707883200,49518.61,49877.22,49225.01,49838.93,39671.108701379984,NaN,NaN,NaN,48875.53320477996,47180.79176668704,45540.93738365867,44234.808391241524,NaN,NaN,49430.48485867465,49877.22,49225.01,49614.9425,0,0,49280.837904447086,-78.87000000000262,49518.61,49877.22,49225.01,49838.93
1707897600,49838.93,51723.08,49741.19,51555.12,39671.108701379984,NaN,NaN,NaN,49130.73194718187,47352.33405034638,45660.03010873473,44307.64731272171,51723.08,NaN,49522.71367933732,51723.08,49522.71367933732,50714.58,0,0,49523.24888073478,2023.0900000000038,49838.93,51723.08,49741.19,51555.12
1707912000,51555.12,52043.71,51276.24,51590,39671.108701379984,NaN,NaN,NaN,49364.94795221217,47518.51702876417,45777.45525509642,44380.108533490646,52043.71,NaN,50118.64683966866,52043.71,50118.64683966866,51616.2675,0,0,49730.88006752712,1672.7300000000032,51555.12,52043.71,51276.24,51590
1707926400,51590,51750,51200.24,51678,39671.108701379984,NaN,NaN,NaN,49585.23862343006,47681.63400802832,45894.297725292534,44452.7243689783,NaN,NaN,50867.457169834335,51750,50867.457169834335,51554.56,0,0,49827.70487376893,1888.010000000002,51590,51750,51200.24,51678
1707940800,51677.99,51888,51464,51795.17,39820.49280962635,NaN,NaN,NaN,49795.70827834148,47842.949144968385,46011.146681227336,44525.783529485976,NaN,NaN,51211.00858491717,51888,51211.00858491717,51706.28999999999,0,0,49889.71065674353,1812.0800000000017,51677.99,51888,51464,51795.17
1707955200,51795.17,52500,51717.58,52343.32,40265.20352866371,NaN,NaN,NaN,50038.33796611848,48019.43427653825,46136.536251896105,44603.56996202841,52500,NaN,51458.64929245858,52500,51458.64929245858,52089.0175,0,0,50010.03509292556,2355.199999999997,51795.17,52500,51717.58,52343.32
1707969600,52343.32,52364.55,51634.01,51776.61,40265.20352866371,NaN,NaN,NaN,50203.88768363101,48166.77450098773,46248.22088057143,44674.94349474454,NaN,NaN,51773.83339622929,52364.55,51634.01,52029.6225,0,0,50073.01959185167,3049.1399999999994,52343.32,52364.55,51634.01,51776.61
